,Knowledge ID #,Citation #,Reference,Reference Type,Reference Rank
140,15,1,"Beaulieu, K., Hopkins, M., Blundell, J., & Finlayson, G. (2018). Homeostatic and non-homeostatic appetite control along the spectrum of physical activity levels: An updated perspective. Physiology & behavior, 192, 23–29. https://doi.org/10.1016/j.physbeh.2017.12.032",Journal Article,1
141,15,2,"Joseph, R. J., Alonso-Alonso, M., Bond, D. S., Pascual-Leone, A., & Blackburn, G. L. (2011). The neurocognitive connection between physical activity and eating behaviour. Obesity reviews : an official journal of the International Association for the Study of Obesity, 12(10), 800–812. https://doi.org/10.1111/j.1467-789X.2011.00893.x",Journal Article,1
160,17,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2913764/,Journal Article,1
170,18,1,Exercise Snacks: A Novel Strategy to Improve Cardiometabolic Health - https://pubmed.ncbi.nlm.nih.gov/34669625/,Journal Article,1
171,18,2,"The affective and behavioral responses to repeated ""strength snacks"" - https://pubmed.ncbi.nlm.nih.gov/29975122/",Journal Article,1
172,18,3,Exercise Snacking to Improve Muscle Function in Healthy Older Adults: A Pilot Study - https://pubmed.ncbi.nlm.nih.gov/31687210/' Exercise snacks' before meals: a novel strategy to improve glycaemic control in individuals with insulin resistance - https://pubmed.ncbi.nlm.nih.gov/24817675/,Journal Article,1
180,19,1,"Beccuti, G., & Pannain, S. (2011). Sleep and obesity. Current opinion in clinical nutrition and metabolic care, 14(4), 402–412. https://doi.org/10.1097/MCO.0b013e3283479109",Journal Article,1
190,20,1,"Kirschen, G. W., Jones, J. J., & Hale, L. (2020). The Impact of Sleep Duration on Performance Among Competitive Athletes: A Systematic Literature Review. Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine, 30(5), 503–512. https://doi.org/10.1097/JSM.0000000000000622",Journal Article,1
210,22,1,"Sinha, R., Gu, P., Hart, R., & Guarnaccia, J. B. (2019). Food craving, cortisol and ghrelin responses in modeling highly palatable snack intake in the laboratory. Physiology & behavior, 208, 112563. https://doi.org/10.1016/j.physbeh.2019.112563",Journal Article,1
220,23,1,"Lilja, M., Mandić, M., Apró, W., Melin, M., Olsson, K., Rosenborg, S., Gustafsson, T., & Lundberg, T. R. (2018). High doses of anti-inflammatory drugs compromise muscle strength and hypertrophic adaptations to resistance training in young adults. Acta physiologica (Oxford, England), 222(2), 10.1111/apha.12948. https://doi.org/10.1111/apha.12948",Journal Article,1
230,24,1,"Hsouna, H., Boukhris, O., Abdessalem, R., Trabelsi, K., Ammar, A., Shephard, R. J., & Chtourou, H. (2019). Effect of different nap opportunity durations on short-term maximal performance, attention, feelings, muscle soreness, fatigue, stress and sleep. Physiology & behavior, 211, 112673. https://doi.org/10.1016/j.physbeh.2019.112673",Journal Article,1
250,26,1,"Gantois, P., Lima-Júnior, D., Fortes, L. S., Batista, G. R., Nakamura, F. Y., & Fonseca, F. S. (2021). Mental Fatigue From Smartphone Use Reduces Volume-Load in Resistance Training: A Randomized, Single-Blinded Cross-Over Study. Perceptual and motor skills, 128(4), 1640–1659. https://doi.org/10.1177/00315125211016233",Journal Article,1
270,28,1,"Gordon, J. A., 3rd, Hoffman, J. R., Arroyo, E., Varanoske, A. N., Coker, N. A., Gepner, Y., Wells, A. J., Stout, J. R., & Fukuda, D. H. (2017). Comparisons in the Recovery Response From Resistance Exercise Between Young and Middle-Aged Men. Journal of strength and conditioning research, 31(12), 3454–3462. https://doi.org/10.1519/JSC.0000000000002219",Journal Article,1
271,28,2,"Schmidt, J., Ferrauti, A., Kellmann, M., Beaudouin, F., Pfeiffer, M., Volk, N. R., Wambach, J. M., Bruder, O., & Wiewelhove, T. (2021). Recovery From Eccentric Squat Exercise in Resistance-Trained Young and Master Athletes With Similar Maximum Strength: Combining Cold Water Immersion and Compression. Frontiers in physiology, 12, 665204. https://doi.org/10.3389/fphys.2021.665204",Journal Article,1
290,30,1,"Tan, B., Philipp, M. C., Che Muhamed, A. M., & Mündel, T. (2022). Hypohydration but not menstrual phase influences pain perception in healthy women. Journal of applied physiology (Bethesda, Md. : 1985), 132(3), 611–621. https://doi.org/10.1152/japplphysiol.00402.2021",Journal Article,1
291,30,2,"Bear, T., Philipp, M., Hill, S., & Mündel, T. (2016). A preliminary study on how hypohydration affects pain perception. Psychophysiology, 53(5), 605–610. https://doi.org/10.1111/psyp.12610",Journal Article,1
292,30,3,"Ogino, Y., Kakeda, T., Nakamura, K., & Saito, S. (2014). Dehydration enhances pain-evoked activation in the human brain compared with rehydration. Anesthesia and analgesia, 118(6), 1317–1325. https://doi.org/10.1213/ANE.0b013e3182a9b028",Journal Article,1
310,32,1,"Stiegler, P., & Cunliffe, A. (2006). The role of diet and exercise for the maintenance of fat-free mass and resting metabolic rate during weight loss. Sports medicine (Auckland, N.Z.), 36(3), 239–262. https://doi.org/10.2165/00007256-200636030-00005",Journal Article,1
311,32,2,"Heymsfield, S. B., Gonzalez, M. C., Shen, W., Redman, L., & Thomas, D. (2014). Weight loss composition is one-fourth fat-free mass: a critical review and critique of this widely cited rule. Obesity reviews : an official journal of the International Association for the Study of Obesity, 15(4), 310–321. https://doi.org/10.1111/obr.12143",Journal Article,1
330,34,1,"Marchant, D. C., & Greig, M. (2017). Attentional focusing instructions influence quadriceps activity characteristics but not force production during isokinetic knee extensions. Human movement science, 52, 67–73. https://doi.org/10.1016/j.humov.2017.01.007",Journal Article,1
331,34,2,"Calatayud, J., Vinstrup, J., Jakobsen, M. D., Sundstrup, E., Colado, J. C., & Andersen, L. L. (2018). Influence of different attentional focus on EMG amplitude and contraction duration during the bench press at different speeds. Journal of sports sciences, 36(10), 1162–1166. https://doi.org/10.1080/02640414.2017.1363403",Journal Article,1
332,34,3,"Schoenfeld, B. J., Vigotsky, A., Contreras, B., Golden, S., Alto, A., Larson, R., Winkelman, N., & Paoli, A. (2018). Differential effects of attentional focus strategies during long-term resistance training. European journal of sport science, 18(5), 705–712. https://doi.org/10.1080/17461391.2018.1447020",Journal Article,1
340,35,1,"Lee, K. M., Hunger, J. M., & Tomiyama, A. J. (2021). Weight stigma and health behaviors: evidence from the Eating in America Study. International Journal of Obesity, 45, 1499–1509. doi:https://doi.org/10.1038/s41366-021-00814-5",Journal Article,1
350,36,1,"Sinha, R., Gu, P., Hart, R., & Guarnaccia, J. B. (2019). Food craving, cortisol and ghrelin responses in modeling highly palatable snack intake in the laboratory. Physiology & behavior, 208, 112563. https://doi.org/10.1016/j.physbeh.2019.112563",Journal Article,1
360,37,1,"Burke, L. E., Wang, J., & Sevick, M. A. (2011). Self-monitoring in weight loss: a systematic review of the literature. Journal of the American Dietetic Association.",Journal Article,1
361,37,2,Step Counting: A Review of Measurement Considerations and Health-Related Applications - https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5488109/,Journal Article,1
370,38,1,"Ukai, T., Iso, H., Yamagishi, K., Saito, I., Kokubo, Y., Yatsuya, H., Muraki, I., Eshak, E. S., Sawada, N., & Tsugane, S. (2020). Habitual tub bathing and risks of incident coronary heart disease and stroke. Heart (British Cardiac Society), 106(10), 732–737. https://doi.org/10.1136/heartjnl-2019-315752",Journal Article,1
400,41,1,"Pescatello, L. S., Franklin, B. A., Fagard, R., Farquhar, W. B., Kelley, G. A., Ray, C. A., & American College of Sports Medicine (2004). American College of Sports Medicine position stand. Exercise and hypertension. Medicine and science in sports and exercise, 36(3), 533–553. https://doi.org/10.1249/01.mss.0000115224.88514.3a",Journal Article,1
410,42,1,"Careau, V., Halsey, L. G., Pontzer, H., Ainslie, P. N., Andersen, L. F., Anderson, L. J., Arab, L., Baddou, I., Bedu-Addo, K., Blaak, E. E., Blanc, S., Bonomi, A. G., Bouten, C., Buchowski, M. S., Butte, N. F., Camps, S., Close, G. L., Cooper, J. A., Das, S. K., Cooper, R., … IAEA DLW database group (2021). Energy compensation and adiposity in humans. Current biology : CB, S0960-9822(21)01120-9. Advance online publication. ",Journal Article,1
411,42,2,"Broskey, N. T., Martin, C. K., Burton, J. H., Church, T. S., Ravussin, E., & Redman, L. M. (2021). Effect of Aerobic Exercise-induced Weight Loss on the Components of Daily Energy Expenditure. Medicine and science in sports and exercise, 53(10), 2164–2172. https://doi.org/10.1249/MSS.0000000000002689 ",Journal Article,1
412,42,3,"Martin, C. K., Johnson, W. D., Myers, C. A., Apolzan, J. W., Earnest, C. P., Thomas, D. M., Rood, J. C., Johannsen, N. M., Tudor-Locke, C., Harris, M., Hsia, D. S., & Church, T. S. (2019). Effect of different doses of supervised exercise on food intake, metabolism, and non-exercise physical activity: The E-MECHANIC randomized controlled trial. The American journal of clinical nutrition, 110(3), 583–592. https://doi.org/10.1093/ajcn/nqz054",Journal Article,1
420,43,1,"Benatti, F. B., & Ried-Larsen, M. (2015). The Effects of Breaking up Prolonged Sitting Time: A Review of Experimental Studies. Medicine and science in sports and exercise, 47(10), 2053–2061. https://doi.org/10.1249/MSS.0000000000000654",Journal Article,1
430,44,1,"Douglas, J. A., King, J. A., Clayton, D. J., Jackson, A. P., Sargeant, J. A., Thackray, A. E., Davies, M. J., & Stensel, D. J. (2017). Acute effects of exercise on appetite, ad libitum energy intake and appetite-regulatory hormones in lean and overweight/obese men and women. International journal of obesity (2005), 41(12), 1737–1744. https://doi.org/10.1038/ijo.2017.181",Journal Article,1
431,44,2,"Hagobian, T. A., Yamashiro, M., Hinkel-Lipsker, J., Streder, K., Evero, N., & Hackney, T. (2013). Effects of acute exercise on appetite hormones and ad libitum energy intake in men and women. Applied physiology, nutrition, and metabolism = Physiologie appliquee, nutrition et metabolisme, 38(1), 66–72. https://doi.org/10.1139/apnm-2012-0104",Journal Article,1
432,44,3,"Tobin, S. Y., Cornier, M. A., White, M. H., Hild, A. K., Simonsen, S. E., Melanson, E. L., & Halliday, T. M. (2021). The effects of acute exercise on appetite and energy intake in men and women. Physiology & behavior, 241, 113562. https://doi.org/10.1016/j.physbeh.2021.113562",Journal Article,1
440,45,1,Reduced adaptive thermogenesis during acute protein-imbalanced overfeeding is a metabolic hallmark of the human thrifty phenotype - https://pubmed.ncbi.nlm.nih.gov/34225360/,Journal Article,1
441,45,2,The Response to Long-Term Overfeeding in Identical Twins -https://www.nejm.org/doi/10.1056/NEJM199005243222101?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200www.ncbi.nlm.nih.gov,Journal Article,1
450,46,1,"Nedeltcheva, A. V., Kilkus, J. M., Imperial, J., Schoeller, D. A., & Penev, P. D. (2010). Insufficient sleep undermines dietary efforts to reduce adiposity. Annals of internal medicine, 153(7), 435–441. https://doi.org/10.7326/0003-4819-153-7-201010050-00006",Journal Article,1
451,46,2,"Jåbekk, P., Jensen, R. M., Sandell, M. B., Haugen, E., Katralen, L. M., & Bjorvatn, B. (2020). A randomized controlled pilot trial of sleep health education on body composition changes following 10 weeks' resistance exercise. The Journal of sports medicine and physical fitness, 60(5), 743–748. https://doi.org/10.23736/S0022-4707.20.10136-1",Journal Article,1
460,47,1,"Dello Iacono, A., Ashcroft, K., & Zubac, D. (2021). Ain't Just Imagination! Effects of Motor Imagery Training on Strength and Power Performance of Athletes during Detraining. Medicine and science in sports and exercise, 53(11), 2324–2332. https://doi.org/10.1249/MSS.0000000000002706",Journal Article,1
461,47,2,"Slimani, M., Taylor, L., Baker, J. S., Elleuch, A., Ayedi, F. M., Chamari, K., & Chéour, F. (2017). Effects of mental training on muscular force, hormonal and physiological changes in kickboxers. The Journal of sports medicine and physical fitness, 57(7-8), 1069–1079. https://doi.org/10.23736/S0022-4707.16.06421-5",Journal Article,1
470,48,1,"Burke, L. E., Wang, J., & Sevick, M. A. (2011). Self-monitoring in weight loss: a systematic review of the literature. Journal of the American Dietetic Association.",Journal Article,1
471,48,2,"Colin J Greaves, K. E., Hardeman, W., Roden, M., Evans, P. H., Schwarz, P., & Group, T. I. (2011). Systematic review of reviews of intervention components associated with increased effectiveness in dietary and physical activity interventions. BMC Public Health, 11(119). doi:https://doi.org/10.1186/1471-2458-11-119",Journal Article,1
480,49,1,"Brown, F., Gissane, C., Howatson, G., van Someren, K., Pedlar, C., & Hill, J. (2017). Compression Garments and Recovery from Exercise: A Meta-Analysis. Sports medicine (Auckland, N.Z.), 47(11), 2245–2267. https://doi.org/10.1007/s40279-017-0728-9",Journal Article,1
490,50,1,"Stepan, M. E., Altmann, E. M., & Fenn, K. M. (2021). Caffeine selectively mitigates cognitive deficits caused by sleep deprivation. Journal of experimental psychology. Learning, memory, and cognition, 10.1037/xlm0001023. Advance online publication. https://doi.org/10.1037/xlm0001023",Journal Article,1
520,53,1,"Romero-Parra, N., Maestre-Cascales, C., Marín-Jiménez, N., Rael, B., Alfaro-Magallanes, V. M., Cupeiro, R., & Peinado, A. B. (2021). Exercise-Induced Muscle Damage in Postmenopausal Well-Trained Women. Sports health, 19417381211014134. Advance online publication. https://doi.org/10.1177/19417381211014134",Journal Article,1
540,55,1,"Calatayud, J., Vinstrup, J., Jakobsen, M. D., Sundstrup, E., Colado, J. C., & Andersen, L. L. (2018). Influence of different attentional focus on EMG amplitude and contraction duration during the bench press at different speeds. Journal of sports sciences, 36(10), 1162–1166. https://doi.org/10.1080/02640414.2017.1363403",Journal Article,1
550,56,1,"Oscarsson, M., Carlbring, P., Andersson, G., & Rozental, A. (2020). A large-scale experiment on New Year's resolutions: Approach-oriented goals are more successful than avoidance-oriented goals. PloS one, 15(12), e0234097. https://doi.org/10.1371/journal.pone.0234097",Journal Article,1
570,58,1,Acute post-exercise myofibrillar protein synthesis is not correlated with resistance training-induced muscle hypertrophy in young men https://pubmed.ncbi.nlm.nih.gov/24586775/,Journal Article,1
580,59,1,"Queiros, V. S., Dantas, M., Fortes, L. S., Silva, L., Silva, G., Dantas, P., & Cabral, B. (2021). Mental Fatigue Reduces Training Volume in Resistance Exercise: A Cross-Over and Randomized Study. Perceptual and motor skills, 128(1), 409–423. https://doi.org/10.1177/0031512520958935",Journal Article,1
590,60,1,"Bartolomei, S., Totti, V., Griggio, F., Malerba, C., Ciacci, S., Semprini, G., & Di Michele, R. (2021). Upper-Body Resistance Exercise Reduces Time to Recover After a High-Volume Bench Press Protocol in Resistance-Trained Men. Journal of strength and conditioning research, 35(Suppl 1), S180–S187. https://doi.org/10.1519/JSC.0000000000002960",Journal Article,1
610,62,1,"Afonso, J., Ramirez-Campillo, R., Moscão, J., Rocha, T., Zacca, R., Martins, A., Milheiro, A. A., Ferreira, J., Sarmento, H., & Clemente, F. M. (2021). Strength Training versus Stretching for Improving Range of Motion: A Systematic Review and Meta-Analysis. Healthcare (Basel, Switzerland), 9(4), 427. https://doi.org/10.3390/healthcare9040427",Journal Article,1
620,63,1,"Bin Naharudin, M. N., Yusof, A., Shaw, H., Stockton, M., Clayton, D. J., & James, L. J. (2019). Breakfast Omission Reduces Subsequent Resistance Exercise Performance. Journal of strength and conditioning research, 33(7), 1766–1772. https://doi.org/10.1519/JSC.0000000000003054",Journal Article,1
621,63,2,"Naharudin, M. N., Adams, J., Richardson, H., Thomson, T., Oxinou, C., Marshall, C., Clayton, D. J., Mears, S. A., Yusof, A., Hulston, C. J., & James, L. J. (2020). Viscous placebo and carbohydrate breakfasts similarly decrease appetite and increase resistance exercise performance compared with a control breakfast in trained males. The British journal of nutrition, 1–9. Advance online publication. https://doi.org/10.1017/S0007114520001002",Journal Article,1
622,63,3,"Naharudin, M. N., Yusof, A., Clayton, D. J., & James, L. J. (2021). Starving Your Performance? Reduced Preexercise Hunger Increases Resistance Exercise Performance. International journal of sports physiology and performance, 1–7. Advance online publication. https://doi.org/10.1123/ijspp.2021-0166",Journal Article,1
630,64,1,"Tsereteli, N., Vallat, R., Fernandez-Tajes, J., Delahanty, L. M., Ordovas, J. M., Drew, D. A., Valdes, A. M., Segata, N., Chan, A. T., Wolf, J., Berry, S. E., Walker, M. P., Spector, T. D., & Franks, P. W. (2022). Impact of insufficient sleep on dysregulated blood glucose control under standardised meal conditions. Diabetologia, 65(2), 356–365. https://doi.org/10.1007/s00125-021-05608-y",Journal Article,1
640,65,1,"Winer, J. R., Deters, K. D., Kennedy, G., Jin, M., Goldstein-Piekarski, A., Poston, K. L., & Mormino, E. C. (2021). Association of Short and Long Sleep Duration With Amyloid-β Burden and Cognition in Aging. JAMA neurology, 78(10), 1187–1196. https://doi.org/10.1001/jamaneurol.2021.2876",Journal Article,1
670,68,1,"Konno, R., Kang, H. S., & Makimoto, K. (2014). A best-evidence review of intervention studies for minimizing resistance-to-care behaviours for older adults with dementia in nursing homes. Journal of advanced nursing, 70(10), 2167–2180. https://doi.org/10.1111/jan.12432",Journal Article,1
680,69,1,"Diktas, H. E., Roe, L. S., Keller, K. L., Sanchez, C. E., & Rolls, B. J. (2021). Promoting vegetable intake in preschool children: Independent and combined effects of portion size and flavor enhancement. Appetite, 164, 105250. https://doi.org/10.1016/j.appet.2021.105250",Journal Article,1
690,70,1,"Xiao, S., Wang, Y., Duan, S., & Li, B. (2021). Effects of aromatherapy on agitation and aggression in cognitive impairment: A meta-analysis. Journal of clinical nursing, 10.1111/jocn.15984. Advance online publication. https://doi.org/10.1111/jocn.15984",Journal Article,1
710,72,1,https://pubmed.ncbi.nlm.nih.gov/28698222/,Journal Article,1
720,73,1,https://pubmed.ncbi.nlm.nih.gov/29741558/,Journal Article,1
721,73,2,https://www.ahajournals.org/doi/full/10.1161/CIR.0000000000000743,Journal Article,1
722,73,3,https://www.mdpi.com/2072-6643/13/6/1935/htm,Journal Article,1
770,78,1,"Wang, D. D., Li, Y., Bhupathiraju, S. N., Rosner, B. A., Sun, Q., Giovannucci, E. L., Rimm, E. B., Manson, J. E., Willett, W. C., Stampfer, M. J., & Hu, F. B. (2021). Fruit and Vegetable Intake and Mortality: Results From 2 Prospective Cohort Studies of US Men and Women and a Meta-Analysis of 26 Cohort Studies. Circulation, 143(17), 1642–1654. https://doi.org/10.1161/CIRCULATIONAHA.120.048996",Journal Article,1
800,81,1,"Daly, R. M., Dalla Via, J., Duckham, R. L., Fraser, S. F., & Helge, E. W. (2019). Exercise for the prevention of osteoporosis in postmenopausal women: an evidence-based guide to the optimal prescription. Brazilian journal of physical therapy, 23(2), 170–180. https://doi.org/10.1016/j.bjpt.2018.11.011",Journal Article,1
810,82,1,"Moilanen, A., Kopra, J., Kröger, H., Sund, R., Rikkonen, T., & Sirola, J. (2021). Characteristics of Long-Term Femoral Neck Bone Loss in Postmenopausal Women: A 25-Year Follow-Up. Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research, 10.1002/jbmr.4444. Advance online publication. https://doi.org/10.1002/jbmr.444",Journal Article,1
830,84,1,"Moilanen, A., Kopra, J., Kröger, H., Sund, R., Rikkonen, T., & Sirola, J. (2021). Characteristics of Long-Term Femoral Neck Bone Loss in Postmenopausal Women: A 25-Year Follow-Up. Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research, 10.1002/jbmr.4444. Advance online publication. https://doi.org/10.1002/jbmr.444",Journal Article,1
910,92,1,"Cook, C., Beaven, C. M., Kilduff, L. P., & Drawer, S. (2012). Acute caffeine ingestion's increase of voluntarily chosen resistance-training load after limited sleep. International journal of sport nutrition and exercise metabolism, 22(3), 157–164. https://doi.org/10.1123/ijsnem.22.3.157",Journal Article,1
960,97,1,"Borghouts, L. B., & Keizer, H. A. (2000). Exercise and insulin sensitivity: a review. International journal of sports medicine, 21(1), 1–12. https://doi.org/10.1055/s-2000-8847",Journal Article,1
970,98,1,"Hordern, M. D., Dunstan, D. W., Prins, J. B., Baker, M. K., Singh, M. A., & Coombes, J. S. (2012). Exercise prescription for patients with type 2 diabetes and pre-diabetes: a position statement from Exercise and Sport Science Australia. Journal of science and medicine in sport, 15(1), 25–31. https://doi.org/10.1016/j.jsams.2011.04.005",Journal Article,1
971,98,2,"Borghouts, L. B., & Keizer, H. A. (2000). Exercise and insulin sensitivity: a review. International journal of sports medicine, 21(1), 1–12. https://doi.org/10.1055/s-2000-8847",Journal Article,1
972,98,3,"Herzig, K. H., Ahola, R., Leppäluoto, J., Jokelainen, J., Jämsä, T., & Keinänen-Kiukaanniemi, S. (2014). Light physical activity determined by a motion sensor decreases insulin resistance, improves lipid homeostasis and reduces visceral fat in high-risk subjects: PreDiabEx study RCT. International journal of obesity (2005), 38(8), 1089–1096. https://doi.org/10.1038/ijo.2013.224",Journal Article,1
1110,112,1,"Song, K., & Milner, J. A. (2001). The influence of heating on the anticancer properties of garlic. The Journal of nutrition, 131(3s), 1054S–7S. https://doi.org/10.1093/jn/131.3.1054S",Journal Article,1
1120,113,1,"Loy, B.D, O'Connor, P.J., & Dishman, R.K. (2013). The effect of a single bout of exercise on energy and fatigue states: a systematic review and meta-analysis. Fatigue, 1(4). doi: https://doi.org/10.1080/21641846.2013.843266",Journal Article,1
1140,115,1,"Gheysen, F., Poppe, L., DeSmet, A., Swinnen, S., Cardon, G., De Bourdeaudhuij, I., Chastin, S., & Fias, W. (2018). Physical activity to improve cognition in older adults: can physical activity programs enriched with cognitive challenges enhance the effects? A systematic review and meta-analysis. The international journal of behavioral nutrition and physical activity, 15(1), 63. https://doi.org/10.1186/s12966-018-0697-x",Journal Article,1
1200,121,1,"Figueira, F. R., Umpierre, D., Casali, K. R., Tetelbom, P. S., Henn, N. T., Ribeiro, J. P., & Schaan, B. D. (2013). Aerobic and combined exercise sessions reduce glucose variability in type 2 diabetes: crossover randomized trial. PloS one, 8(3), e57733. https://doi.org/10.1371/journal.pone.0057733",Journal Article,1
1220,123,1,"Gheysen, F., Poppe, L., DeSmet, A., Swinnen, S., Cardon, G., De Bourdeaudhuij, I., Chastin, S., & Fias, W. (2018). Physical activity to improve cognition in older adults: can physical activity programs enriched with cognitive challenges enhance the effects? A systematic review and meta-analysis. The international journal of behavioral nutrition and physical activity, 15(1), 63. https://doi.org/10.1186/s12966-018-0697-x",Journal Article,1
1310,132,1,"Liu, A. G., Ford, N. A., Hu, F. B., Zelman, K. M., Mozaffarian, D., & Kris-Etherton, P. M. (2017). A healthy approach to dietary fats: understanding the science and taking action to reduce consumer confusion. Nutrition journal, 16(1), 53. https://doi.org/10.1186/s12937-017-0271-4",Journal Article,1
1311,132,2,"Jakobsen, M. U., Dethlefsen, C., Joensen, A. M., Stegger, J., Tjønneland, A., Schmidt, E. B., & Overvad, K. (2010). Intake of carbohydrates compared with intake of saturated fatty acids and risk of myocardial infarction: importance of the glycemic index. The American journal of clinical nutrition, 91(6), 1764–1768. https://doi.org/10.3945/ajcn.2009.29099",Journal Article,1
1360,137,1,"Pan, A., & Hu, F. B. (2011). Effects of carbohydrates on satiety: differences between liquid and solid food. Current opinion in clinical nutrition and metabolic care, 14(4), 385–390. https://doi.org/10.1097/MCO.0b013e328346df36",Journal Article,1
1370,138,1,"Chaput, J. P., Dutil, C., & Sampasa-Kanyinga, H. (2018). Sleeping hours: what is the ideal number and how does age impact this?. Nature and science of sleep, 10, 421–430. https://doi.org/10.2147/NSS.S163071",Journal Article,1
1380,139,1,"Aqeel, M., Forster, A., Richards, E. A., Hennessy, E., McGowan, B., Bhadra, A., Guo, J., Gelfand, S., Delp, E., & Eicher-Miller, H. A. (2020). The Effect of Timing of Exercise and Eating on Postprandial Response in Adults: A Systematic Review. Nutrients, 12(1), 221. https://doi.org/10.3390/nu12010221",Journal Article,1
1381,139,2,"DiPietro, L., Gribok, A., Stevens, M. S., Hamm, L. F., & Rumpler, W. (2013). Three 15-min bouts of moderate postmeal walking significantly improves 24-h glycemic control in older people at risk for impaired glucose tolerance. Diabetes care, 36(10), 3262–3268. https://doi.org/10.2337/dc13-0084",Journal Article,1
1382,139,3,"Reynolds, A. N., Mann, J. I., Williams, S., & Venn, B. J. (2016). Advice to walk after meals is more effective for lowering postprandial glycaemia in type 2 diabetes mellitus than advice that does not specify timing: a randomised crossover study. Diabetologia, 59(12), 2572–2578. https://doi.org/10.1007/s00125-016-4085-2",Journal Article,1
1383,139,4,"Manohar, C., Levine, J. A., Nandy, D. K., Saad, A., Dalla Man, C., McCrady-Spitzer, S. K., Basu, R., Cobelli, C., Carter, R. E., Basu, A., & Kudva, Y. C. (2012). The effect of walking on postprandial glycemic excursion in patients with type 1 diabetes and healthy people. Diabetes care, 35(12), 2493–2499. https://doi.org/10.2337/dc11-2381",Journal Article,1
1390,140,1,"Yang, Y. C., Boen, C., Gerken, K., Li, T., Schorpp, K., & Harris, K. M. (2016). Social relationships and physiological determinants of longevity across the human life span. Proceedings of the National Academy of Sciences of the United States of America, 113(3), 578–583. https://doi.org/10.1073/pnas.1511085112",Journal Article,1
